question,answer
Where is Ilora Retreats located, It is in the central Olkiombo area of Masai Mara close to Rhino Ridge.
What is the area of the property,The retreat covers 30 acres of land.
How many tents are available, There are 14 twin or double occupancy tents.
What is the size of each tent, Each tent is 700 square feet.
What is the total guest capacity, The maximum guest capacity is 35.
What is the distance between tents, It is 70 feet.
What is provided on arrival, Guests receive a flute welcome and can participate in a tree planting ceremony.
What happens during departure, A guard of honour is performed for guests.
What are Morning Magic activities, Sunrise yoga bush walks and safari drives.
What are Mid Morning activities, Farm to table experience koroga beadwork pottery and spear throwing.
What can guests do in the afternoon, Photography classes village visits and school visits.
What activities are available in the evening, Safari drives sundowners bonfire Bush Flix and ranger talks.
What are Celestial Nights experiences, Stargazing and sleeping in a Star Bed under the sky.
What wellness activities are available, Spa in the wild pool serenity Bahati’s lounge and gym.
What cultural activity is offered, A Maasai dance performance in the evening.
What shopping options are available, A curio shop with handicrafts jewellery tshirts and memory cards.
What are the dining timings, Breakfast 7 to 9 AM lunch 1 to 3 PM dinner 7 to 9 PM.
How are meals served, Meals are 5 course plated service curated by a Michelin chef.
What cuisines are available,Italian European Middle Eastern Indian and Chinese.
What special meals are available, Bush breakfast bush dinner and sundowner snacks.
What is bush breakfast, A full breakfast served in the wild.
What is bush dinner, A candlelit dinner surrounded by nature.
What is a sundowner,Snacks and drinks enjoyed at sunset in the bush.
Where can guests dine, Main dining tent poolside Sky Deck and bush dining.
Does the camp provide kosher food, Yes on prior request kosher meals can be arranged.
What kind of produce is used, Fresh local organic vegetables and home baked breads.
Are packed meals available, Packed breakfast and lunch for safaris are available on request.
What is the corkage fee, 25 US dollars per bottle in common areas but free in rooms.
What is the check in time, Check in time is 1 PM.
What is the check out time, Check out time is 11 AM.
Can guests request early check in, Yes on prior request but subject to availability.
Can guests request late check out, Yes on prior request but subject to availability.
Does the camp use solar power, Yes it is powered entirely by a 100 KWH solar setup.
Is backup power available, Yes a generator is available for backup.
Is WiFi available, Yes WiFi is available throughout the camp.
What is the WiFi password, The password is Bahati@2025.
What to do if WiFi disconnects, Reconnect to pick the nearest router.
Is an in room safe provided, Yes with a default code of 1234.
Can the safe code be changed, Yes guests can set their own code.
Is a phone available in tents, Yes with extensions to all services.
What is the fridge type, An electricity free fridge cooling 10 to 15 degrees below outside.
Are safari ponchos provided, Yes safari ponchos are in the tent.
Are binoculars available, Yes they can be borrowed at reception.
What pillow choices are available, Memory foam latex and anti snoring pillows.
How is mosquito control managed, Rooms are sprayed during turndown and repellents provided.
How long does hot water take, 20 to 60 seconds after turning on the tap.
What is the laundry service, 5 pieces per person per day included otherwise 3 dollars per piece.
What is the electricity voltage, 220 volts with universal plug and USB charging.
Is wheelchair access available, Yes but only in a few tents on request.
Is a personal bar available, Yes each tent has a personal bar.
Is air conditioning available, No only ceiling fans on demand.
Are mosquito nets available, No tents are sealed instead.
Are child cots available, Yes on request.
Is an extra bed available, Yes on demand.
What are the safety guidelines, Stay on paths call for escorts at night and remain in vehicles during safari.
Is smoking allowed, Not inside tents or dining only on balconies.
How is trash managed, Use designated bins do not throw waste outside.
What medical support is available, A para medic with first aid and essential medicines is onsite.
How is drinking water provided, Unlimited RO bottled water is complimentary.
Is tap water safe, Yes tap and shower water is RO treated.
Are commercial water bottles available, Yes at an extra cost.
What is the reception like, A mini library and photo exhibition are at reception.
What is the photo lounge, It has two iMacs photography equipment and a conference table.
What is the curio shop, It sells crafts made by local Maasai communities.
What is the Sky Deck used for, It is for stargazing sundowners and the Star Bed.
What does the swimming pool include, A kid friendly section and scenic views.
What does the spa offer, Two treatment rooms with premium Theravine products.
What is the Bush Spa, A spa service set up outdoors in nature.
How can guests request help, By dialing from the room phone or WhatsApp.
What sustainability practices are followed, Solar energy no single use plastics organic farming eco detergents and natural soaps.
What is the climate in June to October, Temperatures range from 18 to 24 degrees Celsius.
What is the climate in December to February, Temperatures range from 22 to 28 degrees Celsius.
What happens during March to May, Sporadic rains occur during this time.
Is a fan required in tents, No the climate is cool and pleasant year round.
What animals are commonly seen, Lions leopards cheetahs elephants giraffes zebras wildebeests and hippos.
Is there a resident leopard, Yes the resident leopard is named Bahati.
Is there a hippo pool nearby, Yes a hippo pool lies along the camp boundary.
How many bird species are recorded, Over 40 species are recorded in the area.
How far is Mara Crossing, It is 5 km or about 10 minutes away.
How far is Musiara gate, About 45 minutes away.
How far is Talek gate, About 40 minutes away.
How far is Sekenani gate, About 1.5 hours away.
What is the road travel time from Nairobi, About 6.5 hours by road.
What is the flight duration from Nairobi, About 45 minutes.
What is the flight duration from Mombasa, About 2 hours.
What is the transfer time from Olkiombo airstrip, About 7 minutes.
What currency is accepted, US Dollars are widely accepted in Kenya.
Can guests exchange currency, Yes USD can be exchanged at the airport.
What payment methods are accepted at camp, Credit cards are accepted for laundry drinks and snacks.
What are the park fees from Jan to June 2025, 100 USD per person.
What are the park fees from July to December 2025, 200 USD per person.
What are the resident park fees, KSH 3000 per adult and KSH 1000 per child.
Where are park fees paid, At park gates or airstrips.
What vehicle is used for safaris, A private 4x4 Landcruiser safari vehicle.
What unique experience is offered at sunrise, A hot air balloon ride followed by champagne bush breakfast.
What evening activities are included, Maasai dance bonfire village visits and sundowners.
Are bird walks offered, Yes bird walks in the camp are available.
Is complimentary laundry provided, Yes limited complimentary laundry is available depending on package.
What is the Kenya office contact number, +254 714 543 506.
What is the official website, www.ilora retreats.com.
What number should I call for housekeeping?,Dial 2 for housekeeping.
What services can housekeeping provide?,They provide cleaning and any room amenities.
What number should I call for restaurant service?,Dial 3 for the restaurant.
What can I request from the restaurant line?,You can order tea or coffee; check next meal options; or make special requests.
What number should I call for the spa?,Dial 4 for spa services.
What services does the spa line offer?,It is used for treatments; bookings; and wellness services.
What number should I call for security?,Dial 5 for security.
What services can security provide?,They provide safety; night escort; and luggage assistance.
What number should I call for driver or guide?,Dial 6 to coordinate safari timings or talk to your guide.
What number should I call for duty manager?,Dial 7 for guest services; feedback; or assistance.
What number should I call for concierge?,Dial 8 for transfers; flights; balloon safaris; or other experiences.
How do I make a call using the phone extension?,Long press the number to call.
Can I scan for all menus and information?,Yes you can scan the provided code for menus and information.
Are tea and coffee included in all packages?,Yes they are included for AP and full board guests.
What is included in the game package?,All drinks except premium menu items are included.
Can I request a room with a view of the surrounding landscape?,Yes; most tents have private verandas and views of the savannah; please contact us in advance to note your preference.
Do you offer a shuttle service to nearby attractions?,Yes; we can arrange transfers and game drive pick ups; please contact reservations to book.
Can I request a room with a separate bedroom?,Yes; we have tents and room types that can offer extra space; contact reservations for specific configurations.
Do you have a business center on-site that offers printing services?,No; however; you can use staff assistance for urgent printing needs on request.
Can I request a room with a private patio?,Yes; several tents have private decked verandas; please contact us in advance.
What is the exact location of Ilora Retreats?,Ilora Retreats is located in the Olkiombo area of the Masai Mara in Kenya; use the camp address or our Nairobi office to plan transfers.
How many accommodation units does Ilora Retreats have?,Ilora Retreats lists 14 luxury tents as its primary accommodation; please check availability with reservations.
Are the tents en suite?,Yes; each luxury tent features modern en suite amenities including private bathrooms and showers.
Is there hot water in the rooms?,Yes; tents provide hot showers and in room bathroom facilities.
Are there universal power sockets and charging points?,Yes; the camp provides universal power sockets in rooms; bring your chargers as needed.
Do you provide WiFi throughout the property?,Yes; WiFi is available throughout your stay including tents and common areas.
